127.0.0.1 - - [21/May/2021:18:46:14 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/May/2021:18:48:15 +0900] "GET /MySNS2/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2021:18:48:15 +0900] "GET /MySNS2/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2021:18:48:15 +0900] "GET /MySNS2/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [21/May/2021:18:48:15 +0900] "GET /MySNS2/js/core.js HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [21/May/2021:18:48:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/May/2021:18:48:31 +0900] "GET /SHTwist/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2021:18:48:31 +0900] "GET /SHTwist/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2021:18:48:31 +0900] "GET /SHTwist/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2021:18:48:31 +0900] "GET /SHTwist/js/core.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2021:18:48:49 +0900] "POST /SHTwist/jsp/login.jsp?id=ryu&ps=111 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [21/May/2021:18:48:49 +0900] "GET /SHTwist/mix.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2021:18:48:51 +0900] "GET /SHTwist/closet.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2021:18:48:52 +0900] "GET /SHTwist/community.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2021:18:49:00 +0900] "GET /SHTwist/setup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2021:18:50:30 +0900] "GET /SHTwist/systemsetup.jsp HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/May/2021:18:50:32 +0900] "GET /SHTwist/mysetup.jsp HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [21/May/2021:18:51:29 +0900] "GET /SHTwist/mysetup.jsp HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [21/May/2021:18:52:58 +0900] "POST /SHTwist/jsp/login.jsp?id=ryu&ps=111 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [21/May/2021:18:52:59 +0900] "GET /SHTwist/mix.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2021:18:52:59 +0900] "GET /SHTwist/mix.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2021:18:53:02 +0900] "GET /SHTwist/closet.html HTTP/1.1" 200 2518
0:0:0:0:0:0:0:1 - - [21/May/2021:18:53:03 +0900] "GET /SHTwist/closet.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2021:18:53:03 +0900] "GET /SHTwist/closet.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2021:18:53:07 +0900] "GET /SHTwist/closet.html HTTP/1.1" 304 -
